Discounted Price,Occurrences
0.0,17585
0.18,2
0.24,23
0.25,15
0.26,133
0.27,69
0.28,5
0.29,10
0.3,1
0.31,1
0.32,74
0.34,12
0.35,2
0.36,1
0.38,2
0.39,5
0.4,3
0.41,9
0.43,7
0.44,3
0.45,29
0.46,1
0.49,53
0.5,3
0.51,3
0.52,3
0.53,6
0.54,11
0.55,6
0.56,3
0.57,2
0.58,3
0.59,10
0.6,4
0.62,23
0.63,33
0.64,1
0.65,27
0.66,6
0.67,9
0.68,2
0.69,23
0.7,4
0.72,18
0.73,15
0.74,10
0.75,1
0.76,6
0.79,352
0.8,6
0.81,28
0.82,24
0.83,7
0.84,11
0.85,1
0.86,4
0.87,6
0.88,9
0.89,23
0.9,5481
0.91,2
0.92,5
0.93,1
0.94,8
0.95,2
0.96,2
0.97,14
0.98,7
0.99,182
1.0,58
1.02,1
1.04,8
1.05,7
1.06,3
1.07,3
1.08,1
1.09,19
1.11,11
1.12,2
1.14,6
1.15,5
1.16,2
1.17,3
1.18,8
1.19,17
1.2,11
1.21,1
1.23,1
1.24,4
1.25,19
1.26,6
1.27,7
1.29,19
1.3,3
1.31,14
1.33,3
1.34,20
1.36,2
1.37,8
1.38,7
1.39,4022
1.4,4
1.42,4
1.43,1
1.44,4
1.46,4
1.47,5
1.48,3
1.49,50
1.5,7
1.52,1
1.53,7
1.54,6
1.57,14
1.58,1
1.59,310
1.6,3
1.61,12
1.62,1
1.63,1
1.64,25
1.65,1
1.66,1
1.67,2
1.68,1
1.69,9
1.7,3
1.72,1
1.73,2
1.74,7
1.75,7
1.76,2
1.77,1
1.79,16
1.8,2
1.81,1
1.82,3
1.84,2
1.85,3
1.86,3
1.87,3
1.88,22
1.89,2
1.9,4
1.91,2
1.93,4
1.95,3
1.96,1
1.97,25
1.98,3
1.99,649
2.0,53
2.01,5
2.03,4
2.04,7
2.05,2
2.06,2
2.08,3
2.09,22
2.1,1
2.11,2
2.12,11
2.13,2
2.14,2
2.15,10
2.16,7
2.17,3
2.19,3562
2.2,8
2.22,4
2.23,4
2.24,5
2.25,1
2.28,5
2.29,13
2.3,29
2.31,5
2.34,10
2.35,1
2.37,1
2.39,12
2.4,3
2.41,1
2.42,3
2.44,1
2.45,2
2.46,9
2.47,1
2.49,85
2.5,17
2.51,16
2.54,15
2.55,1
2.57,1
2.59,8
2.61,1
2.62,4
2.63,18
2.64,5
2.65,2
2.66,4
2.67,4
2.68,5
2.69,2424
2.7,2
2.74,2
2.75,13
2.77,5
2.78,3
2.79,307
2.8,2
2.81,6
2.83,7
2.84,1
2.85,3
2.87,1
2.88,3
2.89,7
2.9,3
2.91,1
2.92,3
2.93,7
2.94,1
2.96,12
2.97,3
2.98,2
2.99,1289
3.0,36
3.02,2
3.03,4
3.04,2
3.07,1
3.09,2
3.12,4
3.13,1
3.14,36
3.15,2
3.18,4
3.19,23
3.2,1
3.21,3
3.22,1
3.23,1
3.24,1
3.25,2
3.27,2
3.28,7
3.29,5477
3.3,5
3.32,4
3.33,2
3.34,12
3.37,1
3.39,14
3.4,1
3.42,2
3.43,1
3.45,1
3.47,5
3.49,44
3.5,11
3.51,6
3.54,4
3.56,2
3.59,19
3.6,5
3.61,2
3.62,1
3.63,1
3.66,1
3.67,2
3.69,7
3.71,1
3.73,3
3.74,13
3.75,6
3.76,1
3.77,9
3.78,2
3.79,4
3.8,1
3.82,2
3.83,1
3.89,3
3.9,2
3.92,1
3.94,1
3.95,1
3.97,1
3.98,3
3.99,2149
4.0,28
4.01,6
4.03,1
4.04,3
4.05,4
4.08,6
4.09,2
4.12,1
4.13,1
4.15,4
4.19,12
4.2,3
4.22,4
4.24,16
4.26,1
4.27,1
4.28,4
4.29,8
4.3,1
4.31,1
4.34,1
4.35,1
4.37,1
4.38,3
4.39,4
4.4,13
4.42,3
4.43,1
4.45,1
4.47,1
4.49,39
4.5,100
4.54,3
4.59,15
4.6,6
4.61,2
4.63,4
4.64,1
4.65,1
4.66,2
4.67,2
4.68,1
4.69,1672
4.7,1
4.71,6
4.72,1
4.74,1
4.76,1
4.78,1
4.79,8
4.8,1
4.81,2
4.82,1
4.83,3
4.86,1
4.87,1
4.89,7
4.9,1
4.92,1
4.94,6
4.95,2
4.97,1
4.99,2180
5.0,37
5.01,1
5.03,20
5.09,10
5.14,1
5.16,1
5.17,1
5.19,1
5.21,1
5.22,1
5.24,19
5.26,1
5.29,7
5.33,2
5.34,1
5.35,2
5.38,1
5.39,5
5.4,1
5.41,8
5.42,1
5.45,1
5.49,45
5.5,6
5.51,6
5.52,5
5.59,215
5.6,1
5.61,1
5.62,2
5.64,1
5.66,8
5.67,2
5.68,2
5.69,8
5.75,2
5.76,6
5.77,5
5.79,717
5.8,1
5.84,1
5.87,1
5.88,1
5.89,4
5.9,3
5.93,1
5.94,18
5.95,2
5.96,1
5.98,1
5.99,329
6.0,17
6.03,1
6.09,7
6.1,2
6.11,1
6.14,1
6.17,4
6.19,1
6.2,2
6.24,12
6.27,1
6.29,4717
6.3,2
6.31,2
6.36,3
6.38,1
6.39,8
6.4,1
6.43,1
6.44,1
6.49,9
6.5,2
6.55,1
6.57,1
6.59,3
6.6,1
6.61,4
6.64,3
6.66,1
6.69,355
6.7,4
6.74,3
6.75,1
6.78,2
6.79,10
6.8,1
6.81,5
6.85,1
6.89,1
6.9,3
6.92,3
6.93,4
6.94,1
6.98,3
6.99,2021
7.0,18
7.01,1
7.11,1
7.19,4
7.2,6
7.21,6
7.24,5
7.3,1
7.34,11
7.36,1
7.39,3
7.41,1
7.43,2
7.45,2
7.49,789
7.5,3
7.51,1
7.53,1
7.58,2
7.59,6
7.61,4
7.62,1
7.64,6
7.69,3
7.7,1
7.71,2
7.74,2
7.79,2
7.83,1
7.85,1
7.86,5
7.87,1
7.89,1
7.9,3
7.91,1
7.92,1
7.97,1
7.98,1
7.99,479
8.0,8
8.03,2
8.04,1
8.06,1
8.1,1
8.14,1
8.17,10
8.24,1
8.25,16
8.27,1
8.29,1
8.32,1
8.38,1
8.39,15
8.4,3
8.44,4
8.45,3
8.47,1
8.49,2412
8.5,3
8.53,1
8.54,2
8.57,1
8.59,72
8.65,2
8.67,1
8.69,3
8.73,1
8.74,2
8.76,1
8.79,2
8.81,2
8.82,1
8.85,1
8.86,1
8.88,1
8.9,1
8.91,2
8.93,1
8.95,2
8.96,1
8.99,383
9.0,8
9.2,4
9.21,1
9.23,3
9.29,3
9.32,1
9.36,1
9.37,4
9.39,1
9.4,1
9.41,2
9.44,6
9.47,1
9.49,178
9.5,1
9.56,2
9.58,1
9.59,18
9.65,1
9.66,1
9.69,4
9.74,1
9.77,1
9.79,1
9.89,253
9.9,6
9.91,1
9.92,1
9.95,1
9.98,1
9.99,784
10.0,32
10.04,3
10.25,1
10.26,1
10.29,115
10.33,2
10.35,2
10.39,1
10.41,1
10.45,1
10.49,2171
10.5,3
10.59,26
10.79,1
10.82,1
10.86,1
10.9,1
10.92,3
10.96,1
10.99,114
11.0,2
11.01,1
11.05,1
11.06,1
11.09,1
11.11,1
11.24,6
11.25,4
11.39,1
11.49,15
11.5,2
11.56,2
11.59,20
11.6,1
11.61,3
11.78,1
11.83,1
11.87,1
11.89,1
11.9,1
11.98,3
11.99,90
12.0,7
12.01,2
12.1,1
12.24,2
12.29,1
12.31,2
12.49,818
12.59,353
12.74,3
12.79,1
12.88,1
12.9,2
12.99,88
13.0,1
13.04,3
13.05,1
13.11,3
13.19,1
13.25,1
13.33,1
13.39,1
13.49,11
13.59,1
13.69,1
13.75,2
13.78,1
13.8,2
13.86,1
13.92,1
13.99,26
14.0,1
14.09,1
14.44,1
14.49,589
14.5,1
14.59,1
14.61,1
14.69,2
14.72,2
14.93,1
14.98,1
14.99,340
15.0,10
15.17,1
15.49,4
15.56,1
15.59,1
15.9,1
15.99,50
16.0,1
16.09,1
16.33,1
16.49,144
16.64,1
16.73,1
16.79,1
16.99,27
17.0,5
17.08,1
17.28,1
17.39,1
17.49,6
17.99,130
18.0,2
18.08,1
18.26,1
18.4,12
18.49,220
18.63,1
18.7,1
18.74,1
18.75,2
18.84,1
18.99,36
19.0,1
19.49,3
19.59,1
19.77,1
19.79,1
19.89,1
19.9,10
19.96,1
19.99,317
20.0,9
20.49,47
20.7,2
20.99,20
21.49,1
21.59,1
21.9,1
21.98,1
21.99,12
22.0,1
22.1,2
22.39,1
22.49,8
22.5,1
22.99,91
23.0,1
23.18,1
23.32,1
23.49,2
23.65,2
23.89,1
23.99,20
24.0,1
24.19,1
24.49,6
24.61,1
24.75,1
24.77,1
24.79,1
24.95,1
24.98,1
24.99,88
25.0,1
25.48,1
25.49,3
25.99,11
26.1,1
26.99,12
27.49,5
27.53,2
27.59,1
27.99,55
28.0,1
28.49,1
28.58,1
28.59,1
28.96,1
29.0,1
29.46,2
29.95,1
29.99,175
30.0,1
30.39,1
30.99,5
31.99,28
32.18,1
32.49,1
32.99,16
33.29,9
33.49,4
33.59,1
33.99,1
34.26,1
34.98,1
34.99,29
35.0,2
35.97,1
35.99,4
36.32,1
36.99,9
37.49,2
37.99,2
39.39,1
39.99,87
40.46,1
40.72,1
40.79,1
41.68,2
41.69,5
42.99,2
43.99,2
44.42,1
44.99,15
45.99,6
46.99,3
47.99,3
48.99,1
49.99,52
50.0,1
52.49,1
54.99,1
59.99,49
62.49,1
63.99,1
64.98,1
68.99,1
69.99,15
70.79,1
79.99,1
80.49,1
89.99,21
91.69,1
99.99,4
100.0,2
139.0,1
149.99,2
199.99,1
200.0,1
