Popular Tag,Occurrences
FPS,487
Shooter,675
Multiplayer,1338
Competitive,143
Action,1961
Team-Based,137
eSports,56
Tactical,284
First-Person,746
PvP,339
Online Co-Op,476
Co-op,841
Strategy,914
Military,136
War,203
Difficult,478
Trading,36
Realistic,244
Fast-Paced,131
Moddable,163
World War II,98
Historical,188
Class-Based,33
Classic,356
Gore,424
Massively Multiplayer,214
Simulation,743
Comedy,449
Sci-fi,528
Singleplayer,2280
Story Rich,753
Adventure,1620
Dystopian,63
Atmospheric,1035
Zombies,181
Silent Protagonist,12
Physics,199
Aliens,99
Great Soundtrack,762
Horror,533
Puzzle,590
Survival,433
Sandbox,408
Funny,640
Building,233
Mod,17
Animation & Modeling,4
Indie,1544
Survival Horror,204
Post-apocalyptic,158
Local Co-Op,264
Replay Value,173
Third-Person Shooter,188
Psychological,55
Third Person,533
Dark,240
Emotional,64
Mature,126
Political,25
Based On A Novel,15
Violent,336
Supernatural,52
Comic Book,38
Short,123
Multiple Endings,95
Nudity,176
Colorful,263
Open World,691
Female Protagonist,348
Stealth,197
Action-Adventure,236
Exploration,419
Heist,25
Driving,109
Transportation,16
Automobile Sim,93
Relaxing,158
Immersive Sim,87
Economy,117
Management,210
Controller,321
Family Friendly,288
Casual,883
Racing,166
Free to Play,354
Level Editor,81
Arcade,313
Sports,126
RPG,785
Dungeon Crawler,102
Hack and Slash,209
MMORPG,77
Cute,247
Action RPG,223
Anime,204
Fantasy,505
Character Customization,258
Dark Fantasy,141
Looter Shooter,26
PvE,143
Lore-Rich,50
Space,206
Ninja,32
Parkour,76
Vehicular Combat,35
Combat,154
VR,114
Flight,63
Tanks,30
Naval Combat,17
Modern,25
Cold War,25
Robots,76
Early Access,309
3D Vision,35
Psychological Horror,284
Lovecraftian,51
Walking Simulator,132
Surreal,108
Mystery,209
Interactive Fiction,59
Narration,59
Linear,54
3D,302
Choices Matter,196
Medieval,134
Horses,17
Turn-Based,203
Turn-Based Strategy,152
Choose Your Own Adventure,64
"""Shoot 'Em Up""",92
Base Building,145
Bullet Time,35
Battle Royale,38
Crafting,190
Pixel Graphics,357
Voxel,27
Destruction,81
Gun Customization,31
2D,721
Local Multiplayer,253
Platformer,361
America,22
Side Scroller,168
CRPG,50
Party-Based RPG,48
Real-Time with Pause,50
Real Time Tactics,77
Real-Time,34
Top-Down,179
Kickstarter,41
RTS,200
Strategy RPG,49
Puzzle Platformer,113
Hidden Object,50
Match 3,11
Education,59
Word Game,17
Point & Click,244
Nature,33
Old School,122
Action Roguelike,94
Roguelike,161
Roguelite,140
Isometric,180
Auto Battler,10
Turn-Based Tactics,79
Dark Humor,104
Asynchronous Multiplayer,20
Procedural Generation,124
Alternate History,50
Science,30
Mouse only,30
Open World Survival Craft,59
Dinosaurs,25
Dragons,34
Cartoony,146
Clicker,39
Addictive,36
Idler,31
Touch-Friendly,41
Illuminati,25
2D Fighter,37
2D Platformer,52
Fighting,88
Pirates,29
Cartoon,63
Retro,328
4 Player Local,92
Co-op Campaign,55
Blood,53
MOBA,29
RPGMaker,35
Crime,80
Visual Novel,83
Detective,97
Memes,142
Wargame,50
Steampunk,56
Split Screen,69
Grand Strategy,70
Life Sim,36
4X,35
Arena Shooter,53
Hero Shooter,29
Hacking,26
Programming,10
Typing,15
Cyberpunk,100
Logic,34
Sexual Content,158
Swordplay,38
Social Deduction,18
Party Game,35
Minigames,17
Chess,5
Card Game,70
Board Game,79
Deckbuilding,35
Automation,27
Loot,77
Card Battler,23
Tower Defense,90
Stylized,130
Twin Stick Shooter,48
Time Attack,11
3D Platformer,95
Romance,44
Dating Sim,46
Tactical RPG,57
Resource Management,129
Remake,86
Traditional Roguelike,7
Soundtrack,36
Diplomacy,16
Hunting,12
Combat Racing,26
Investigation,53
Demons,56
Thriller,56
Underwater,18
Experimental,33
FMV,17
Spelling,6
Hand-drawn,89
2.5D,72
Cinematic,97
Runner,19
Bullet Hell,71
Vampire,28
Score Attack,44
1980s,42
Magic,116
Tile-Matching,1
Dungeons & Dragons,10
Perma Death,67
Pinball,6
Inventory Management,32
Mechs,41
TrackIR,7
Artificial Intelligence,24
Mystery Dungeon,8
Villain Protagonist,28
JRPG,82
Cult Classic,78
Nostalgia,27
"""1990's""",136
Beautiful,68
Text-Based,33
Conversation,32
Basketball,2
Futuristic,101
Football (Soccer),9
Tabletop,41
Dark Comedy,39
Space Sim,42
Top-Down Shooter,70
Fishing,26
Mythology,30
Music,57
Sniper,21
Game Development,6
Games Workshop,24
Dog,17
Western,22
Metroidvania,77
Souls-like,46
Roguevania,4
Narrative,17
Political Sim,19
Politics,24
Episodic,29
Precision Platformer,18
LGBTQ+,40
Time Manipulation,27
Time Travel,26
Noir,42
Gothic,38
Psychedelic,28
Drama,60
Philosophical,17
City Builder,98
Minimalist,60
Cats,10
Farming Sim,27
Creature Collector,5
Time Management,32
Parody,27
Trading Card Game,21
Action RTS,9
Epic,23
Experience,9
Mini Golf,5
Golf,6
Capitalism,19
Party,30
Motorbike,7
Escape Room,39
Hentai,23
Satire,23
Transhumanism,8
Voice Control,4
LEGO,15
Mining,18
Crowdfunded,18
Colony Sim,43
Hex Grid,35
Offroad,15
Agriculture,20
"""Beat 'em up""",90
Superhero,28
Nonlinear,18
Dynamic Narration,20
Tutorial,14
Rhythm,47
Abstract,21
Jet,5
Submarine,4
Turn-Based Combat,89
Intentionally Awkward Controls,7
World War I,18
Sokoban,7
Mars,10
Martial Arts,18
Quick-Time Events,14
Medical Sim,6
Collectathon,27
Trains,17
Sailing,11
Naval,21
Well-Written,4
3D Fighter,14
Immersive,20
Character Action Game,27
Spectacle fighter,26
Jump Scare,7
Rome,10
Assassin,30
,12
Trivia,15
God Game,21
Design & Illustration,7
Sequel,22
6DOF,10
Grid-Based Movement,15
Werewolves,7
Music-Based Procedural Generation,9
Spaceships,6
Boss Rush,4
Solitaire,5
Motocross,1
ATV,4
Bikes,7
Unforgiving,7
NSFW,15
Gambling,10
Conspiracy,19
Warhammer 40K,12
Benchmark,2
Vikings,13
Cozy,10
Wholesome,10
GameMaker,6
Cooking,13
Otome,4
Pool,3
Snooker,3
Steam Machine,2
Movie,5
On-Rails Shooter,4
Reboot,1
Snow,4
Skating,1
Outbreak Sim,2
Archery,6
Wrestling,3
Software Training,2
Hockey,2
Underground,4
Gaming,3
Snowboarding,1
Skiing,1
Hardware,1
Boxing,3
Mahjong,4
Musou,6
Asymmetric VR,3
Software,1
Farming,6
Job Simulator,3
Utilities,1
Shop Keeper,1
Football (American),2
Lemmings,4
Roguelike Deckbuilder,7
Audio Production,1
Electronic Music,1
Rock Music,1
Skateboarding,1
Tennis,1
Foreign,4
Cycling,2
Photo Editing,1
360 Video,1
Electronic,1
Faith,1
Ambient,1
Documentary,1
Feature Film,1
Birds,1
